"","Date","stock","value","change"
"1",2007-01-03,"MSFT",23.950705,-0.167452273325558
"2",2007-01-03,"IBM",80.517962,1.06918876063952
"3",2007-01-03,"SBUX",16.149666,0.113476031021334
"4",2007-01-03,"AAPL",11.086612,2.21956897201778
"5",2007-01-03,"GSPC",1416.599976,0.122828605779959
"6",2007-01-04,"MSFT",23.910599,-0.570278477757919
"7",2007-01-04,"IBM",81.378851,-0.905299093003906
"8",2007-01-04,"SBUX",16.167992,-0.425055875831718
"9",2007-01-04,"AAPL",11.332687,-0.71212590623918
"10",2007-01-04,"GSPC",1418.339966,-0.608458141692101
"11",2007-01-05,"MSFT",23.774242,0.978411845896065
"12",2007-01-05,"IBM",80.642129,1.51919972251725
"13",2007-01-05,"SBUX",16.099269,-0.369948474058047
"14",2007-01-05,"AAPL",11.251984,0.493832909822843
"15",2007-01-05,"GSPC",1409.709961,0.222031842477701
"16",2007-01-08,"MSFT",24.006852,0.100229717748919
"17",2007-01-08,"IBM",81.867244,1.18301038691372
"18",2007-01-08,"SBUX",16.03971,-0.42844290825707
"19",2007-01-08,"AAPL",11.30755,8.30701610870612
"20",2007-01-08,"GSPC",1412.839966,-0.0516676352288262
"21",2007-01-09,"MSFT",24.030914,-1.00133519682189
"22",2007-01-09,"IBM",82.835742,-1.17917456452554
"23",2007-01-09,"SBUX",15.970989,-0.315553407494052
"24",2007-01-09,"AAPL",12.24687,4.78555745263892
"25",2007-01-09,"GSPC",1412.109985,0.194035240109142
"26",2007-01-10,"MSFT",23.790284,3.50641043209069
"27",2007-01-10,"IBM",81.858964,-0.242691808315587
"28",2007-01-10,"SBUX",15.920592,3.05036395631519
"29",2007-01-10,"AAPL",12.832951,-1.23710438853853
"30",2007-01-10,"GSPC",1414.849976,0.633987359236461
"31",2007-01-11,"MSFT",24.624469,1.66122973047662
"32",2007-01-11,"IBM",81.660299,0.699437801470698
"33",2007-01-11,"SBUX",16.406228,0.251331384642484
"34",2007-01-11,"AAPL",12.674194,-1.23173118543081
"35",2007-01-11,"GSPC",1423.819946,0.485316561227609
"36",2007-01-12,"MSFT",25.033538,-0.160201087037715
"37",2007-01-12,"IBM",82.231462,1.48983609217602
"38",2007-01-12,"SBUX",16.447462,0.8913594085215
"39",2007-01-12,"AAPL",12.518082,2.62100056542208
"40",2007-01-12,"GSPC",1430.72998,0.0817795123018224
"41",2007-01-16,"MSFT",24.993434,-0.19255057148209
"42",2007-01-16,"IBM",83.456576,-0.793496488521159
"43",2007-01-16,"SBUX",16.594068,0.193261833083973
"44",2007-01-16,"AAPL",12.846181,-2.21421448133107
"45",2007-01-16,"GSPC",1431.900024,-0.0893937410814663
"46",2007-01-17,"MSFT",24.945309,-0.321547430019817
"47",2007-01-17,"IBM",82.794351,-0.569885498589153
"48",2007-01-17,"SBUX",16.626138,-1.43290041259131
"49",2007-01-17,"AAPL",12.561739,-6.19272538619055
"50",2007-01-17,"GSPC",1430.619995,-0.297073996928164
"51",2007-01-18,"MSFT",24.865098,0.354842759919955
"52",2007-01-18,"IBM",82.322518,-3.29813891261199
"53",2007-01-18,"SBUX",16.387902,-0.642992617358831
"54",2007-01-18,"AAPL",11.783825,-0.639945009366651
"55",2007-01-18,"GSPC",1426.369995,0.289546542234996
"56",2007-01-19,"MSFT",24.95333,-1.2536202582982
"57",2007-01-19,"IBM",79.607407,0.97743794117048
"58",2007-01-19,"SBUX",16.282529,-0.703434951658913
"59",2007-01-19,"AAPL",11.708415,-1.93220858673014
"60",2007-01-19,"GSPC",1430.5,-0.527790912268434
"61",2007-01-22,"MSFT",24.64051,0.0651041719509959
"62",2007-01-22,"IBM",80.38552,-0.0308911356174638
"63",2007-01-22,"SBUX",16.167992,-0.963446790423946
"64",2007-01-22,"AAPL",11.482184,-1.25590218724939
"65",2007-01-22,"GSPC",1422.949951,0.354196505397678
"66",2007-01-23,"MSFT",24.656552,1.13858174492524
"67",2007-01-23,"IBM",80.360688,0.329625102263946
"68",2007-01-23,"SBUX",16.012222,-0.457794052568101
"69",2007-01-23,"AAPL",11.337979,1.1668658056255
"70",2007-01-23,"GSPC",1427.98999,0.850147065806809
"71",2007-01-24,"MSFT",24.937287,-2.05853587842175
"72",2007-01-24,"IBM",80.625577,0.112936866175847
"73",2007-01-24,"SBUX",15.938919,-2.35699798712824
"74",2007-01-24,"AAPL",11.470278,-0.519037114880741
"75",2007-01-24,"GSPC",1440.130005,-1.1269802687015
"76",2007-01-25,"MSFT",24.423944,0.492610857607606
"77",2007-01-25,"IBM",80.716633,-0.061537502437699
"78",2007-01-25,"SBUX",15.563239,-0.264944848562689
"79",2007-01-25,"AAPL",11.410743,-1.00869855714041
"80",2007-01-25,"GSPC",1423.900024,-0.120792890723352
"81",2007-01-26,"MSFT",24.544259,-0.228758179254869
"82",2007-01-26,"IBM",80.666962,1.11852607018968
"83",2007-01-26,"SBUX",15.522005,2.00708606909997
"84",2007-01-26,"AAPL",11.295643,0.655890063097784
"85",2007-01-26,"GSPC",1422.180054,-0.109694900839884
"86",2007-01-29,"MSFT",24.488112,-0.163777428002622
"87",2007-01-29,"IBM",81.569243,0.842299100409692
"88",2007-01-29,"SBUX",15.833545,0
"89",2007-01-29,"AAPL",11.36973,-0.45380145350857
"90",2007-01-29,"GSPC",1420.619995,0.577209319090293
